Countries,2015,2012,2009,2006,2003,2000,1997,1994,1991,1988,1985,1982,1979,Age
Albania,,,0,3,11,3,4,21,,0,,, ,1
Anguilla,,0,0,0,0,0,,0,0,0,0,, ,1
Antigua and Barbuda,,0,0,1,0,0,,0,0,0,0,, ,1
Argentina,,16,24,25,33,25,28,29,32,40,31,39,43,1
Armenia,1,1,2,1,0,0,2,1,6,5,10,7, ,1
Aruba,,0,0,0,0,0,,,,,,, ,1
Australia,,4,1,9,7,4,9,6,8,5,16,11,11,1
Austria,,1,1,0,2,1,5,2,3,3,5,7, ,1
Azerbaijan,,,,,1,3,4,11,1,6,2,7, ,1
Bahamas,,0,0,0,0,0,0,0,,,0,, ,1
Bahrain,,0,1,0,0,1,0,,,0,0,, ,1
Barbados,,0,0,2,1,0,,0,0,0,0,0,0,1
Belarus,,,5,,4,1,6,5,10,14,10,12, ,1
Belgium,,5,2,2,0,1,4,8,3,6,1,4,5,1
Belize,,0,1,0,0,1,0,0,1,,,0, ,1
Bermuda,0,0,0,0,0,0,0,0,0,0,0,, ,1
Bolivia,,,,,6,0,,,,,,, ,1
Bosnia and Herzegovina,,,,,,,,,4,9,3,, ,1
Brazil,,137,106,154,138,129,130,141,111,117,151,151,153,1
British Virgin Islands,,,0,0,0,0,0,0,0,0,0,0, ,1
Brunei Darussalam,,2,0,1,0,1,1,,,,,, ,1
Bulgaria,,3,4,1,5,1,13,6,11,7,11,9, ,1
Canada,,15,10,8,7,9,10,7,9,8,11,11,14,1
Cabo Verde,,,,,,,,,,,,, ,1
Cayman Islands,,,0,0,0,0,0,0,0,0,0,, ,1
Chile,,6,10,10,6,8,10,14,17,7,19,24, ,1
Colombia,,20,32,23,38,41,31,38,28,38,50,, ,1
Costa Rica,,2,1,1,0,1,1,2,5,10,6,6, ,1
Croatia,0,1,0,1,2,2,0,4,3,7,1,, ,1
Cuba,,11,10,4,9,16,10,4,8,8,9,7,6,1
Cyprus,,0,0,0,,0,,,,,,, ,1
Czech Republic,5,0,2,4,2,6,2,14,12,7,,, ,1
Denmark,,1,1,2,1,1,6,4,,,,, ,1
Dominica,,0,0,0,0,0,0,0,1,0,0,0,0,1
Dominican Republic,,3,1,5,3,2,1,8,8,4,4,20, ,1
Ecuador,,6,3,15,6,14,9,20,9,10,7,12,5,1
