Country-years:
   South Africa (2014,2013,2012,2011,2010,2009,2008,2007)
   United States of America (2014,2013,2012,2011,2010,2009,2008,2007)
   Japan (2014,2013,2012,2011,2010,2009,2008,2007)
   Finland (2014,2013,2012,2011,2010,2009,2008,2007)
   Germany (2014,2013,2012,2011,2010,2009,2008,2007)
   Netherlands (2014,2013,2012,2011,2010,2009,2008,2007)
   Norway (2014,2013,2012,2011,2010,2009,2008,2007)
   Sweden (2014,2013,2012,2011,2010,2009,2008,2007)
   United Kingdom (2013,2012,2011,2009,2008,2007)
Cause groups:
  A:C00-D48
  B:TOT
Sex: All sexes
Data source: WHO mortality database
Date: Tue Oct 31 13:08:12 CET 2017
Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Finland,2014,104,B,F,00,26545,56,3,4,2,2,16,13,22,45,56,77,90,109,203,426,638,1046,1611,1738,2723,4340,6158,5094,2073,0
Finland,2014,104,A,F,00,5794,1,0,0,0,0,8,1,2,5,9,15,30,47,85,203,260,469,763,748,876,966,821,405,80,0
Finland,2014,104,B,M,00,25864,69,8,5,5,4,12,13,66,123,179,179,223,289,541,851,1332,2166,2979,2858,3617,4124,3805,1931,485,0
Finland,2014,104,A,M,00,6476,0,0,0,3,0,7,3,7,5,15,19,21,34,78,167,351,657,1049,991,1037,994,722,275,41,0
Germany,2014,104,B,F,00,446133,1020,88,38,33,34,93,129,299,424,522,799,1164,2225,4844,8498,11559,15954,19116,34736,56676,73437,100744,86674,27027,0
Germany,2014,104,A,F,00,105651,11,9,6,8,9,27,38,53,63,120,252,480,982,2338,4408,6020,8243,9163,14596,18069,15908,14882,8374,1592,0
Germany,2014,104,B,M,00,422223,1264,80,37,58,39,154,188,630,1086,1350,1747,2253,4006,8809,15494,21737,29905,32767,56067,74328,71248,62162,30700,6114,0
Germany,2014,104,A,M,00,125120,8,5,8,11,11,50,45,68,85,144,221,333,827,2303,5016,8263,12005,13377,21804,24306,18405,12788,4440,597,0
Japan,2014,104,B,F,00,612670,970,164,99,53,55,184,183,365,655,912,1322,2164,3616,4976,6887,10038,17740,26125,37566,57721,95426,132769,127462,85117,101
Japan,2014,104,A,F,00,155007,13,12,9,10,17,54,41,56,90,183,399,851,1731,2598,3874,5985,10199,14062,17113,21025,26680,26556,16999,6441,9
Japan,2014,104,B,M,00,660334,1110,185,100,69,78,276,318,840,1665,1961,2574,3715,6449,8750,12954,20277,39570,59068,77300,99061,125619,116956,58659,22411,369
Japan,2014,104,A,M,00,224140,12,14,9,12,19,72,73,105,105,164,331,616,1262,2187,4035,8102,18111,28813,35629,39534,41224,30077,10860,2752,22
