Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Australia,2014,104,A,F,00,19740,4,1,1,4,2,19,6,17,29,53,96,149,290,513,860,1214,1666,2167,2410,2600,2818,2712,1584,524,1
Australia,2014,104,B,F,00,75239,479,27,21,13,15,67,60,140,192,275,369,471,739,1093,1652,2230,3001,4123,5178,7216,10825,15500,14277,7260,16
Australia,2014,104,A,M,00,24994,7,3,4,5,2,19,10,26,38,47,74,129,238,434,907,1491,2256,3126,3468,3812,3906,3168,1512,312,0
Australia,2014,104,B,M,00,78341,533,40,24,20,19,69,66,256,498,572,731,911,1353,1692,2650,3601,4954,6702,7813,9772,12384,13129,8104,2430,18
Austria,2014,104,B,F,00,40828,119,6,5,7,2,20,18,41,53,76,112,133,257,460,740,1027,1452,2032,3268,3626,6340,9561,8817,2656,0
Austria,2014,104,A,F,00,10003,0,0,1,0,1,9,3,10,6,11,30,51,138,240,423,590,815,1023,1446,1220,1491,1437,885,173,0
Austria,2014,104,B,M,00,37424,130,9,8,6,4,18,24,104,144,159,199,227,459,856,1395,1922,2545,3539,5048,4707,6116,5910,3229,666,0
Austria,2014,104,A,M,00,11157,1,2,1,0,0,4,7,9,17,19,28,34,91,226,506,752,1046,1422,1992,1564,1658,1209,497,72,0
Australia,2013,104,A,F,00,19437,8,4,2,4,6,14,17,22,24,48,93,152,301,502,865,1212,1644,2117,2235,2496,2894,2731,1576,469,1
Australia,2013,104,B,F,00,71896,505,44,29,11,12,59,55,153,198,226,333,452,745,1076,1588,2161,2953,3893,4789,6816,10922,15245,12943,6681,7
Australia,2013,104,A,M,00,25236,4,4,4,7,3,16,14,24,30,67,72,122,233,492,927,1459,2264,3253,3494,3764,4042,3209,1425,305,2
