Countries;"Last
available";;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Albania;346.6;2010;;;;;;346.6;463.3;492.2;457.1;545.4;584.6;621;649.3;593.4;550.7;697.2 
Anguilla;; ;;;;;;;;;;;;;;;; 
Antigua and Barbuda;; ;;;;;;;;;;;;;;;; 
Argentina;564.8;2014;;564.8;578.2;579.1;589.8;601.6;589.1;596.2;633.3;606.5;621.6;634.4;665.1;658.5;661.7;661.8 
Armenia;675.4;2015;675.4;681.1;675.1;698.7;719.7;740.1;790.8;795.5;;746.7;;;826.2;821.5;619;620.9 
Aruba;; ;;;;;;;;;;;;;;;; 
Australia;342.4;2014;;342.4;339.3;346.2;357.8;357.8;363.6;380.3;377.7;389.7;;400.7;407.4;422.6;424;440.5 
Austria;386.3;2014;;386.3;399.6;406.9;404.3;417.5;429;423.7;433.2;443.3;463.5;472.7;496.5;491.6;491.1;511.8 
Azerbaijan;730.1;2007;;;;;;;;;730.1;;;792.6;809;781.4;772.5;821.2 
Bahamas;; ;;;;;;;;;;;;;;;; 
Bahrain;392.5;2014;;392.5;482;518.2;522.8;497.3;504.7;515;506.3;551.3;583.4;648.3;677.3;694.7;715.9;738.1 
Barbados;; ;;;;;;;;;;;;;;;; 
Belarus;753.5;2014;;753.5;786.1;;889.1;911.5;904.4;909.5;919.7;;;;1040.8;1074.2;1030.8;995.7 
Belgium;421.3;2013;;;421.3;431;425.9;439.2;440.1;450.8;453.6;458.3;483.2;486.9;516.5;519.3;516.6;532.9 
Belize;; ;;;;;;;;;;;;;;;; 
Bermuda;; ;;;;;;;;;;;;;;;; 
Bolivia;; ;;;;;;;;;;;;;;;; 
Bosnia and Herzegovina;570.2;2014;;570.2;;;616.7;;;;;;;;;;; 
Brazil;613.5;2014;;613.5;626.5;634;654;662.8;663.6;668.7;675.7;691.1;702.6;738.9;747.4;759.6;773.2;791.7 
British Virgin Islands;; ;;;;;;;;;;;;;;;; 
Brunei Darussalam;; ;;;;;;;;;;;;;;;; 
Bulgaria;678.8;2013;;;678.8;713.8;721.4;746.3;744.1;768.2;792.5;807.6;820.9;815.6;838.5;848.9;854.1;883.7 
Canada;367.3;2012;;;;367.3;370.5;379.4;388.8;400.8;407.9;408.7;426.3;431.4;442.9;450.1;455.1;462.9 
Cabo Verde;; ;;;;;;;;;;;;;;;; 
Cayman Islands;; ;;;;;;;;;;;;;;;; 
Chile;424.7;2014;;424.7;430.6;440.7;441.3;469.7;458.9;448.7;476.7;473.6;492.7;509.1;512.1;513.6;536;533.4 
Colombia;489;2013;;;489;496.4;502.6;531.3;534.5;553.8;557.6;577.6;584.4;593.3;612.5;624.3;640.3;645
Costa Rica;394.4;2014;;394.4;391;396.5;402.4;430.4;391.4;401.8;404.6;438.7;427.3;470.2;466.6;457.1;495.8;494.4 
Croatia;559.9;2015;559.9;541.3;548.1;573.3;578.5;600.2;620.1;633.3;649.2;641.6;675.8;654.7;720.7;703.2;705.6;818.6 
Cuba;499.7;2014;;499.7;493.2;490.5;488.8;523.8;514.6;524.2;513.3;520.2;560.7;546.5;541.5;523.6;571.7;564.1 
Cyprus;359.1;2013;;;359.1;386.4;382.4;372.2;391.7;408.1;433.4;428.1;478;459.7;;;;474.1 
Czech Republic;506.6;2015;506.6;496.6;524.1;531.2;538.1;550.1;565.2;567.9;584;599.6;636.2;647.5;682.5;670.3;668.7;680.9 
Denmark;416.4;2014;;416.4;433;440.8;451.8;475.4;488.2;495.3;511.8;517.8;519.7;539;559;573.1;570.8;573.6 
Dominica;; ;;;;;;;;;;;;;;;; 
Dominican Republic;; ;;;;;;;;;;;;;;;; 
Ecuador;439.7;2014;;439.7;453.8;470.2;474.2;483.4;480.9;497.7;495.9;509;514.3;509.8;513.2;547.3;561.3;589.8 
Egypt;1003.5;2014;;1003.5;791.1;839.2;836.3;863.8;853.4;1604.4;1901.5;1891.7;1550.3;1583.2;884.7;862.1;851.7;820.3 
El Salvador;582.1;2013;;;582.1;564.5;595.7;605.5;625;618.3;628.1;648.4;661.1;650;656.2;623.8;687.7;679.8 
Estonia;551.2;2014;;551.2;554.4;579.6;583.5;612.3;644.3;686.7;739.3;747.3;758.1;786.4;813.8;834.2;852.8;843.4 
Falkland Islands (Malvinas);; ;;;;;;;;;;;;;;;; 
Fiji;1089.5;2012;;;;1089.5;1132.9;;1145.3;1181.1;1178.8;1189.3;1184.4;1166.3;1290;1240.7;1330.3; 
Finland;401.3;2014;;401.3;406.3;419.5;422.2;437.9;443.4;448.6;461;462.9;474.8;488.4;503.6;515.8;518.9;539.5 
France;362.4;2013;;;362.4;371;370.7;383.1;389.5;395.7;398.5;408.4;430.3;429.4;468.7;463.6;467.3;471.6 
French Guiana;; ;;;;;;;;;;;;;;;; 
Georgia;769.9;2014;;769.9;643.3;665;681.7;671.4;704.6;;641.1;678.5;686.7;847.7;;;690.5;729.5 
Germany;405.9;2014;;405.9;425.9;412.9;416.8;429;436.9;441.7;444.3;452.8;470.6;477.6;504.8;502.4;501;515.9 
Greece;397.3;2013;;;397.3;420.4;415.2;423.1;437.9;449.7;473.9;465.1;485.1;500.2;507.5;510.1;515.5;535
Grenada;; ;;;;;;;;;;;;;;;; 
Guadeloupe;; ;;;;;;;;;;;;;;;; 
Guatemala;665;2014;;665;664.8;672.5;687.3;709.8;720.7;709.7;730.2;766.1;798.9;776;786;792.6;838.9;852.8 
Guyana;1057.5;2012;;;;1057.5;1054.7;1112;934.2;1021.3;1007.2;1014.4;1069.4;1057.3;1008.1;1027.5;1022.5; 
Haiti;; ;;;;;;;;;;;;;;;; 
Honduras;; ;;;;;;;;;;;;;;;; 
Hong Kong SAR;303.4;2013;;;303.4;315.7;318.5;337.5;338.5;352.9;353.7;348.6;376.4;378.1;384.8;377.4;381.6;409.2 
Hungary;629.7;2014;;629.7;640.3;664.7;669.5;688.1;702.4;712.4;741.8;746.6;781.9;778.2;806.6;797.8;799.6;867.4 
Iceland;; ;;;;;;;;;;;;;;;; 
Iraq;; ;;;;;;;;;;;;;;;; 
Ireland;409.2;2013;;;409.2;416.2;418.9;411.6;453;453.6;463.2;477.7;485;507.1;526.8;551.8;574.6;608.2 
Israel;353.1;2014;;353.1;358.1;370.5;368.9;372.8;377.6;404.8;425;424.5;442.2;442.8;461.5;472.8;471.7;491.8 
Italy;364.8;2012;;;;364.8;364.4;361.9;375.6;381.3;388.3;392.4;;;444.8;435.2;446.8;461
Jamaica;560.3;2011;;;;;560.3;518.7;586.8;;;494.7;628.1;532.6;549;572;624.3;624.7 
Japan;307.8;2014;;307.8;315.3;322.5;338.6;331;328.9;339.2;341.4;347;358.7;355.8;363.1;364;372.8;383.8 
Jordan;; ;;;;;;;;;;;;;;;; 
Kazakhstan;813.7;2015;813.7;838.5;881.3;943;970.9;1000.2;978.2;1068.7;1129.5;1141.6;1167.6;1148.6;1190.1;1157;1160.7;1154
Kiribati;; ;;;;;;;;;;;;;;;; 
Kuwait;374.6;2014;;374.6;380.2;420.2;389.3;428.5;481.5;463.1;461.5;606.3;594.2;620.2;617.7;544.4;568.1;607.2 
Kyrgyzstan;821.6;2015;821.6;858.1;856.4;914.1;929.2;944.5;960.9;979.6;1007;1041.6;1023.9;988.2;1041.4;1030.9;958.1;1016.1 
Latvia;671.9;2014;;671.9;690.8;706.2;711;755.4;766;805.9;877;892.1;888.7;871.7;887.4;901.9;917.9;889.6 
Lithuania;676.2;2015;676.2;663.9;694.2;695.8;711.4;737.2;749.4;806.6;858.8;849.7;838.1;795.6;796.5;809.8;813.4;785.5 
Luxembourg;; ;;;;;;;;;;;;;;;; 
Macau;; ;;;;;;;;;;;;;;;; 
Malaysia;; ;;;;;;;;;;;;;;;; 
Maldives;; ;;;;;;;;;;;;;;;; 
Malta;; ;;;;;;;;;;;;;;;; 
Martinique;; ;;;;;;;;;;;;;;;; 
Mauritius;680.2;2014;;680.2;682.6;713.8;717.1;732;736.7;768.7;749.3;831.8;796.4;802.2;826.9;823;811.6;833.9 
Mayotte;; ;;;;;;;;;;;;;;;; 
Mexico;560.3;2014;;560.3;556.4;565;571.4;595;586;592.8;574.7;584.4;605.9;593.8;607.2;602.5;595.6;605.4 
Monaco;; ;;;;;;;;;;;;;;;; 
Mongolia;1061.3;1994;;;;;;;;;;;;;;;; 
Montenegro;652.4;2009;;;;;;;652.4;659.5;711.7;730.6;733;733.3;748.5;731.4;728.1;725.6 
Montserrat;; ;;;;;;;;;;;;;;;; 
Morocco;; ;;;;;;;;;;;;;;;; 
Netherlands;388.4;2015;388.4;387.5;393.5;402.4;399.2;410.2;415.5;428.1;433;451.2;466.7;478;505;515.2;517.1;526.9 
Netherlands Antilles;; ;;;;;;;;;;;;;;;; 
New Zealand;386.8;2012;;;;386.8;399.9;390.9;411.2;421.4;426.1;433.9;429.9;464.1;466.9;483.5;492.2;484.4 
Nicaragua;; ;;;;;;;;;;;;;;;; 
Norway;366.9;2014;;366.9;381.2;390.7;394.8;402.2;407.6;416.8;423.9;424.9;433.4;444.4;462.9;487.8;490.2;498.7 
Occupied Palestinian Territory;; ;;;;;;;;;;;;;;;; 
Oman;453.5;2010;;;;;;453.5;511.7;;;;;;;;; 
Panama;468.6;2014;;468.6;471.5;478.6;468.6;488.3;473.4;478.4;484.1;490;501;493.2;500.3;487.5;499.9;491.1 
Paraguay;517.9;2014;;517.9;548.6;523.9;541.1;569.3;556.5;532.2;545.1;549.5;553;559.7;528.1;521.2;526.4;554.6 
Peru;; ;;;;;;;;;;;;;;;; 
Philippines;914;2011;;;;;914;943.4;955.1;954.2;946.9;988.8;;;958.2;988.9;970;968.5 
Poland;536.2;2014;;536.2;565;574.9;576.6;594.2;623;631.2;644.4;648.6;663.3;670.8;687.6;686.6;707.2;730
Portugal;393.7;2014;;393.7;414.4;427;423.7;446.5;458.6;468.4;477.9;;;;552.4;553.9;561.4;578.5 
Puerto Rico;482.2;2014;;482.2;477.6;495.4;508.5;502.3;510.9;510.6;521;514.4;542.7;536.1;530.3;532.7;565.2;561.4 
Qatar;385.6;2014;;385.6;342.7;330.4;375.9;411;450.1;492.5;476.8;536;577.2;545.1;;;710.1; 
Republic of Korea;374.9;2013;;;374.9;395.6;400.4;415.5;420.7;440.1;461;478.2;501.2;522.7;544.1;569.4;580.6;611.8 
Republic of Moldova;853.2;2015;853.2;856.5;833.3;883.9;893.2;1006.1;983.2;986.8;1023.5;1064.2;1137.4;1068.3;1123.4;1111.3;1081.5;1120.6 
Reunion;414.4;2013;;;414.4;423.5;426.3;464.7;467.6;487.9;489.7;555;583.3;538.6;577.3;597.5;570.2; 
Rodrigues;; ;;;;;;;;;;;;;;;; 
Romania;640.7;2015;640.7;636.7;637.2;692.2;693.3;731;741.3;746.1;758;793.9;823.2;835;872.8;889.3;854.7;857.5 
Russian Federation;900.7;2011;;;;;900.7;965.4;980;1026.4;1045.2;1105.2;1189.3;1191.8;1233.6;1207.2;1178.9;1172.4 
Saint Kitts and Nevis;; ;;;;;;;;;;;;;;;; 
Saint Lucia;; ;;;;;;;;;;;;;;;; 
Saint Pierre and Miquelon;; ;;;;;;;;;;;;;;;; 
Saint Vincent and Grenadines;; ;;;;;;;;;;;;;;;; 
San Marino;; ;;;;;;;;;;;;;;;; 
Sao Tome and Principe;; ;;;;;;;;;;;;;;;; 
Saudi Arabia;; ;;;;;;;;;;;;;;;; 
Serbia;677.1;2014;;677.1;682.7;708.5;725;728.1;746.8;751.7;768.7;781.7;829.5;832.8;852.6;859.3;844.1;901.8 
Seychelles;; ;;;;;;;;;;;;;;;; 
Singapore;327.3;2015;327.3;335.6;345.5;351.6;361.3;368;374.9;397.8;414.4;399.6;415;423.3;453.7;465.3;471.3;501.7 
Slovakia;576.1;2014;;576.1;596.1;613.8;;650.8;659.8;678;701;709.5;728.2;721.3;744.4;742.1;756.7;762.6 
Slovenia;417.8;2015;417.8;;432.5;440.7;444.1;456.1;475.8;481.6;510.9;519.3;555.3;564.6;606.2;592.9;601.5;612.8 
South Africa;1065.5;2014;;1065.5;1085.3;1175.2;1267.1;1370.3;1487.6;1603;1591.8;1642.2;1633;1602.3;1634.7;1535.5;; 
Spain;337.7;2014;;337.7;341.6;360;364.4;368.8;382.1;395.1;406.6;406;433.5;431.9;458;453.3;456.6;468.5 
Sri Lanka;658.5;2006;;;;;;;;;;658.5;;;690.8;686.7;710.8;750.4 
Suriname;; ;;;;;;;;;;;;;;;; 
Sweden;369.7;2015;369.7;363;373.7;381.6;379;387.1;392.4;402.1;408.3;413.3;422.7;430.8;440;451.8;453.6;458
Switzerland;340.6;2013;;;340.6;344;343.9;350.6;360.3;361.7;371.4;377.4;390.5;395.3;418.4;416.1;427.7;444.1 
Syrian Arab Republic;; ;;;;;;;;;;;;;;;; 
Tajikistan;; ;;;;;;;;;;;;;;;; 
TFYR Macedonia;681;2013;;;681;726.8;711.9;715.3;736.5;747.6;792.1;770.6;787.6;791.5;814.9;825.9;775.8;813.9 
Thailand;567.9;2014;;567.9;580.5;593.6;612.8;630.5;620.6;641.6;644.4;601.3;630.4;643.4;644.1;662.9;;670.2 
Trinidad and Tobago;749;2010;;;;;;749;721.5;795.5;750.9;773.1;813;829.4;877.6;846.6;878.9;877
Tunisia;; ;;;;;;;;;;;;;;;; 
Turkey;490;2013;;;490;457.1;463.5;456.7;457.8;;;;;;;;; 
Turkmenistan;848.8;2014;;848.8;838.4;824.8;835.3;838.2;840.6;899.4;910.7;912.8;953.7;924.5;941.5;956.5;910.1;939.7 
Turks and Caicos Islands;; ;;;;;;;;;;;;;;;; 
Ukraine;844.9;2014;;844.9;;853.4;864.6;918.1;947.1;1035.2;1057.8;1053.4;1099.2;1073.5;1077.7;1068.3;1040.5;1059
United Arab Emirates;486.3;2010;;;;;;486.3;485.5;497.5;547.2;512.5;535.6;;;;; 
United Kingdom;407.4;2013;;;407.4;408.9;407;422.1;430.3;451.6;456.3;464.2;479.6;490.5;516.4;518.4;523.1;528.2 
United States of America;468.8;2014;;468.8;471.2;471.1;476;478.4;484.2;499.3;497.2;505.7;518.2;519.2;538.5;545.7;551.5;560.4 
Uruguay;537.3;2014;;537.3;556.1;571.4;;574.8;559.7;570.8;620.9;582.7;615.9;630.2;648;628.9;638.2;637.9 
Uzbekistan;708.2;2014;;708.2;705.2;721.8;726.9;722;711.9;;;;899.4;854.5;905.1;923.6;901.6;935.5 
Venezuela (Bolivarian Republic of);593.3;2013;;;593.3;603.5;605.5;605.7;601.1;616;607.8;602.4;606.2;621;661.9;621.1;649.5;643.6 
Virgin Islands (USA);; ;;;;;;;;;;;;;;;; 
Zimbabwe;; ;;;;;;;;;;;;;;;; 
Total reporting countries;; ;;;;;;;;;;;;;;;; 
