Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Albania,,,,,,285.4,378.9,388.9,362.9,444.5,468.0,496.4,518.5,468.8,422.7,540.3 ,All
Anguilla,,,,,,,,,,,,,,,, ,All
Antigua and Barbuda,,,,,,,,,,,,,,,, ,All
Argentina,,431.7,440.3,438.8,451.5,460.0,448.3,449.9,480.6,459.6,469.5,482.7,501.2,491.7,497.0,495.8 ,All
Armenia,533.4,539.4,540.7,553.4,574.4,592.4,633.8,635.1,,600.3,,,674.0,674.2,517.4,521.4 ,All
Aruba,,,,,,,,,,,,,,,, ,All
Australia,,281.2,276.4,283.3,289.5,288.8,292.7,306.2,304.2,311.6,,319.1,324.0,336.2,333.9,346.2 ,All
Austria,,306.8,313.4,320.7,313.5,322.9,333.1,331.0,336.7,345.5,363.5,369.8,392.0,383.1,381.7,398.9 ,All
Azerbaijan,,,,,,,,,614.7,,,666.5,682.3,654.3,646.0,681.2 ,All
Bahamas,,,,,,,,,,,,,,,, ,All
Bahrain,,384.4,460.1,494.9,483.5,461.4,461.4,462.2,438.9,508.7,537.6,608.4,615.1,587.9,636.2,731.1 ,All
Barbados,,,,,,,,,,,,,,,, ,All
Belarus,,511.1,536.2,,583.7,605.3,605.2,606.6,622.3,,,,708.3,738.2,711.3,694.2 ,All
Belgium,,,333.7,337.9,336.0,344.5,346.1,351.4,355.9,357.4,376.3,376.7,402.9,399.0,395.3,406.1 ,All
Belize,,,,,,,,,,,,,,,, ,All
Bermuda,,,,,,,,,,,,,,,, ,All
Bolivia,,,,,,,,,,,,,,,, ,All
Bosnia and Herzegovina,,472.0,,,512.6,,,,,,,,,,, ,All
Brazil,,469.4,479.8,487.1,502.7,508.0,509.8,512.6,518.7,531.3,537.5,564.6,570.6,582.1,589.8,605 ,All
British Virgin Islands,,,,,,,,,,,,,,,, ,All
Brunei Darussalam,,,,,,,,,,,,,,,, ,All
Bulgaria,,,509.5,545.0,549.2,570.2,566.5,586.3,607.3,620.0,629.5,628.2,652.2,667.4,669.7,705.2 ,All
Canada,,,,303.9,307.0,311.7,318.6,327.6,332.1,332.8,346.5,349.3,356.6,363.5,363.8,368.3 ,All
Cabo Verde,,,,,,,,,,,,,,,, ,All
Cayman Islands,,,,,,,,,,,,,,,, ,All
Chile,,329.0,333.8,346.9,344.1,364.5,353.0,347.7,372.5,370.1,383.1,395.9,397.4,397.3,416.9,415.2 ,All
Colombia,,,385.4,391.9,396.6,419.4,418.8,438.8,441.1,454.6,459.0,463.3,479.5,476.4,488.7,491.1 ,All
Costa Rica,,313.4,314.1,319.8,322.1,340.2,312.8,320.3,321.6,345.0,345.5,378.9,378.4,364.0,403.2,394.8 ,All
Croatia,426.6,413.0,414.8,430.6,442.2,461.1,471.8,474.8,492.1,488.4,513.7,498.5,551.6,535.0,539.6,627.8 ,All
Cuba,,414.1,408.9,404.8,409.3,435.1,430.7,442.1,431.9,433.0,469.0,457.0,456.7,434.3,481.6,466.9 ,All
Cyprus,,,275.4,315.2,322.2,295.9,308.8,328.9,352.0,358.5,396.0,364.2,,,,402.2 ,All
Czech Republic,390.0,377.8,401.4,407.2,410.4,418.9,434.1,434.3,447.8,460.9,493.8,497.5,527.8,516.6,518.7,521.7 ,All
