Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Albania,,,,,,413.1,556.7,608.6,563.9,661.2,719.5,763.8,804.0,740.9,700.6,888 ,All
Anguilla,,,,,,,,,,,,,,,, ,All
Antigua and Barbuda,,,,,,,,,,,,,,,, ,All
Argentina,,743.9,761.9,766.4,775.0,793.6,777.3,788.6,835.7,800.1,823.9,834.5,880.6,874.9,876.7,880.6 ,All
Armenia,859.1,864.4,844.3,882.4,892.8,912.8,1005.1,1011.2,,922.8,,,1034.2,1016.3,739.4,736.9 ,All
Aruba,,,,,,,,,,,,,,,, ,All
Australia,,410.7,410.2,417.5,435.8,435.8,444.2,465.2,462.5,482.4,,497.8,506.0,526.6,532.1,554 ,All
Austria,,483.1,505.1,512.7,517.7,536.1,550.4,542.8,556.6,571.2,594.5,608.8,636.2,639.4,640.3,666.5 ,All
Azerbaijan,,,,,,,,,860.9,,,936.7,959.5,936.1,926.6,997.4 ,All
Bahamas,,,,,,,,,,,,,,,, ,All
Bahrain,,394.0,500.9,543.7,558.7,532.8,543.5,559.7,564.2,591.0,623.0,688.6,736.8,790.2,795.1,742.8 ,All
Barbados,,,,,,,,,,,,,,,, ,All
Belarus,,1121.9,1164.7,,1339.7,1360.1,1349.5,1357.9,1359.8,,,,1523.9,1557.4,1489.2,1431.8 ,All
Belgium,,,529.2,545.9,537.5,557.8,557.9,574.9,576.9,586.2,620.5,630.2,665.3,677.0,676.5,701.6 ,All
Belize,,,,,,,,,,,,,,,, ,All
Bermuda,,,,,,,,,,,,,,,, ,All
Bolivia,,,,,,,,,,,,,,,, ,All
Bosnia and Herzegovina,,692.5,,,741.3,,,,,,,,,,, ,All
Brazil,,787.6,804.9,812.6,840.7,855.9,854.4,863.1,871.7,892.4,913.4,962.0,973.7,987.0,1011.5,1037.8 ,All
British Virgin Islands,,,,,,,,,,,,,,,, ,All
Brunei Darussalam,,,,,,,,,,,,,,,, ,All
Bulgaria,,,886.3,920.2,933.1,965.0,960.9,990.7,1019.8,1037.0,1053.6,1042.1,1062.2,1066.4,1073.2,1093.8 ,All
Canada,,,,441.0,444.6,459.7,472.4,488.3,498.5,500.9,524.1,532.6,550.5,559.3,570.5,582.8 ,All
Cabo Verde,,,,,,,,,,,,,,,, ,All
Cayman Islands,,,,,,,,,,,,,,,, ,All
Chile,,542.8,549.6,556.3,561.3,600.3,588.2,571.2,603.9,600.5,627.0,647.7,652.1,655.4,680.6,679 ,All
Colombia,,,612.0,620.1,627.8,663.6,670.5,689.9,695.3,723.2,734.2,745.7,768.3,793.9,815.5,824.1 ,All
Costa Rica,,483.5,475.0,480.7,490.6,529.9,478.4,491.8,497.1,543.7,519.3,572.9,565.7,563.1,600.8,608.9 ,All
Croatia,734.2,706.0,722.3,759.1,756.4,781.9,813.7,840.5,857.6,847.4,892.1,862.8,950.3,931.3,929.0,1085.1 ,All
Cuba,,593.6,585.3,584.2,576.3,622.4,607.1,615.6,603.2,617.0,663.0,645.8,635.2,622.0,671.7,671.8 ,All
Cyprus,,,454.9,467.0,450.3,458.4,485.0,496.9,524.8,507.2,573.0,570.3,,,,554.9 ,All
Czech Republic,650.7,646.6,679.3,688.1,700.4,718.0,733.9,739.1,758.6,782.1,822.7,845.7,888.7,876.0,868.9,892.2 ,All
Denmark,,498.8,519.8,526.7,542.2,571.4,587.5,600.2,616.6,630.7,633.8,662.9,686.3,696.2,695.7,703.6 ,All
Dominica,,,,,,,,,,,,,,,, ,All
Dominican Republic,,,,,,,,,,,,,,,, ,All
Ecuador,,520.0,536.0,556.4,570.5,578.3,574.8,601.4,593.4,605.3,618.2,610.2,609.1,648.5,662.2,697 ,All
Egypt,,1065.7,926.9,975.9,1013.4,1039.1,1028.8,1600.9,1897.2,1883.2,1585.8,1629.7,1067.8,1041.2,1032.7,998.9 ,All
El Salvador,,,740.4,716.6,771.1,771.3,814.5,802.1,817.1,843.0,857.0,839.2,838.9,795.9,866.7,882.2 ,All
Estonia,,809.0,803.4,858.4,859.9,906.5,953.8,1017.0,1104.8,1108.7,1114.7,1155.4,1183.1,1209.8,1237.2,1203.4 ,All
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, ,All
Fiji,,,,1247.5,1273.2,,1277.9,1305.9,1376.2,1392.4,1385.1,1351.5,1505.2,1497.8,1621.7, ,All
Finland,,517.6,528.6,545.3,557.3,580.3,590.7,593.8,620.0,625.7,635.6,655.0,671.3,688.0,700.3,725.3 ,All
France,,,479.8,492.3,495.9,513.2,521.5,530.5,538.9,550.9,577.6,578.3,626.3,625.4,634.4,642.8 ,All
French Guiana,,,,,,,,,,,,,,,, ,All
Georgia,,1029.5,864.5,898.4,917.5,904.2,950.6,,900.6,939.4,939.9,1147.8,,,902.1,950.5 ,All
Germany,,506.1,530.2,508.6,515.2,532.7,544.1,550.6,558.9,569.2,593.5,605.3,642.9,643.3,648.2,672.9 ,All
Greece,,,500.6,528.3,507.0,510.8,534.4,542.1,568.3,558.1,584.5,599.9,607.7,615.8,627.9,654.7 ,All
Grenada,,,,,,,,,,,,,,,, ,All
Guadeloupe,,,,,,,,,,,,,,,, ,All
Guatemala,,804.0,801.8,812.0,833.6,865.2,881.6,875.3,884.0,939.9,977.3,945.4,951.9,957.0,1021.9,1023.6 ,All
Guyana,,,,1231.9,1219.5,1260.7,1095.3,1188.3,1181.4,1233.5,1271.6,1261.7,1214.4,1214.9,1184.3, ,All
Haiti,,,,,,,,,,,,,,,, ,All
Honduras,,,,,,,,,,,,,,,, ,All
Hong Kong SAR,,,398.9,415.9,420.2,443.3,441.9,460.9,470.0,456.8,489.2,494.1,497.9,489.5,494.2,527.6 ,All
Hungary,,839.9,851.7,885.9,898.8,929.1,958.4,971.3,1012.3,1019.1,1062.1,1054.1,1090.4,1080.8,1079.4,1175.7 ,All
Iceland,,,,,,,,,,,,,,,, ,All
Iraq,,,,,,,,,,,,,,,, ,All
Ireland,,,493.8,507.9,509.4,501.8,563.0,557.4,570.7,591.6,596.9,634.0,655.5,696.5,725.5,763.3 ,All
Israel,,423.2,425.2,441.7,438.8,446.7,449.2,482.1,504.7,501.7,525.5,531.9,553.9,566.8,570.5,591.2 ,All
Italy,,,,463.5,465.9,464.7,481.7,491.6,502.0,510.8,,,578.1,570.8,585.7,603.3 ,All
Jamaica,,,,,660.7,593.7,707.7,,,555.0,753.9,588.1,616.8,646.5,701.3,704.4 ,All
Japan,,415.5,426.8,438.5,458.4,455.4,452.0,465.6,469.4,477.4,495.9,491.1,502.3,502.8,513.9,529.1 ,All
Jordan,,,,,,,,,,,,,,,, ,All
Kazakhstan,1103.3,1135.9,1198.1,1280.1,1311.9,1350.1,1325.1,1458.9,1564.2,1569.2,1602.2,1580.6,1642.5,1584.6,1594.8,1653.9 ,All
Kiribati,,,,,,,,,,,,,,,, ,All
Kuwait,,396.7,409.0,433.1,414.3,454.1,502.1,492.0,494.9,604.5,569.1,582.3,577.3,599.4,599.9,629.9 ,All
