Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Albania,,,,,,1.2,1.1,2.0,2.0,3.1,2.8,3.6,3.7,3.5,3.5,2.8 ,Infections
Anguilla,,,,,,,,,,,,,,,, ,Infections
Antigua and Barbuda,,,,,,,,,,,,,,,, ,Infections
Argentina,,26.0,26.3,25.6,27.0,27.6,27.2,27.5,30.0,30.8,30.3,29.5,31.1,31.3,32.6,31.7 ,Infections
Armenia,9.0,8.4,7.4,8.5,8.0,9.7,8.4,8.4,,8.8,,,7.8,8.4,7.5,9.1 ,Infections
Aruba,,,,,,,,,,,,,,,, ,Infections
Australia,,6.1,6.2,5.7,6.0,5.4,4.9,5.4,5.2,5.9,,5.6,5.5,5.8,5.8,5.8 ,Infections
Austria,,3.9,4.3,3.8,4.1,4.1,4.2,4.3,3.8,3.8,4.8,4.2,4.5,3.8,2.5,2.6 ,Infections
Azerbaijan,,,,,,,,,5.1,,,15.0,17.6,19.3,21.2,21.8 ,Infections
Bahamas,,,,,,,,,,,,,,,, ,Infections
Bahrain,,7.1,8.2,13.4,14.0,16.3,20.9,16.6,17.0,21.6,27.1,23.3,27.1,21.3,18.1,32.6 ,Infections
Barbados,,,,,,,,,,,,,,,, ,Infections
Belarus,,8.1,8.8,,11.1,10.9,10.5,10.1,11.4,,,,11.9,11.3,9.9,8.9 ,Infections
Belgium,,,10.7,9.9,9.4,9.9,10.1,9.6,9.6,10.2,11.6,12.4,12.8,11.9,11.2,10.5 ,Infections
Belize,,,,,,,,,,,,,,,, ,Infections
Bermuda,,,,,,,,,,,,,,,, ,Infections
Bolivia,,,,,,,,,,,,,,,, ,Infections
Bosnia and Herzegovina,,4.9,,,5.3,,,,,,,,,,, ,Infections
Brazil,,25.7,26.4,25.9,26.5,27.2,26.9,27.7,27.7,29.0,29.9,30.2,31.2,30.8,31.4,31.8 ,Infections
British Virgin Islands,,,,,,,,,,,,,,,, ,Infections
Brunei Darussalam,,,,,,,,,,,,,,,, ,Infections
Bulgaria,,,5.1,5.8,4.8,5.7,5.4,6.0,6.8,6.0,6.3,6.5,6.6,6.3,7.1,7.7 ,Infections
Canada,,,,8.4,8.3,8.3,8.2,8.0,8.2,7.8,8.0,7.7,7.3,6.9,6.7,7 ,Infections
Cabo Verde,,,,,,,,,,,,,,,, ,Infections
Cayman Islands,,,,,,,,,,,,,,,, ,Infections
Chile,,11.4,11.2,10.2,9.1,9.7,9.4,8.8,9.3,9.9,10.3,11.0,11.2,11.7,13.1,13.7 ,Infections
Colombia,,,14.4,14.1,13.7,14.9,15.4,16.8,18.4,17.9,19.3,20.4,20.3,20.8,21.4,21 ,Infections
Costa Rica,,7.8,7.7,7.7,8.1,8.6,7.8,7.2,8.0,9.8,10.1,10.6,11.2,11.1,12.8,12.4 ,Infections
Croatia,4.5,4.1,3.6,3.7,3.4,4.2,4.7,4.4,5.2,5.0,4.3,5.1,6.6,7.9,7.6,8.8 ,Infections
Cuba,,8.1,7.8,6.9,6.1,6.3,5.3,5.6,6.0,6.1,6.9,5.8,5.7,5.6,6.0,6.1 ,Infections
Cyprus,,,6.2,6.2,5.7,4.2,5.7,5.3,5.3,3.0,5.1,4.2,,,,3.5 ,Infections
Czech Republic,8.8,7.9,7.1,8.0,6.9,5.3,6.1,5.1,4.0,2.6,2.5,2.2,2.0,2.1,2.0,1.8 ,Infections
Denmark,,6.6,7.6,6.9,6.5,7.8,7.0,6.4,7.7,7.3,6.8,8.0,8.4,7.2,4.4,4.1 ,Infections
Dominica,,,,,,,,,,,,,,,, ,Infections
Dominican Republic,,,,,,,,,,,,,,,, ,Infections
Ecuador,,13.7,13.5,16.7,17.0,19.1,19.4,21.0,21.8,22.7,23.1,22.8,25.5,28.3,29.1,31.4 ,Infections
Egypt,,28.4,22.4,24.7,26.1,23.7,22.9,32.9,34.4,34.0,31.5,29.6,23.5,26.4,28.9,29.9 ,Infections
El Salvador,,,24.3,21.7,20.0,21.9,22.5,21.8,23.8,26.6,30.0,33.7,43.8,39.2,39.6,43 ,Infections
Estonia,,6.9,7.2,7.6,8.0,7.0,8.8,7.5,8.5,9.2,6.5,9.1,9.0,7.1,8.3,9 ,Infections
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, ,Infections
Fiji,,,,57.9,56.8,,68.4,66.0,59.1,88.6,69.0,64.8,61.7,53.9,79.9, ,Infections
Finland,,2.5,2.5,2.5,3.4,3.6,3.8,4.0,4.3,3.4,3.7,3.6,4.0,4.0,4.1,4.5 ,Infections
