Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Albania,,,,,,1.3,0.7,1.3,1.3,2.2,2.7,2.5,2.9,2.7,2.7,2.3 ,Infections
Anguilla,,,,,,,,,,,,,,,, ,Infections
Antigua and Barbuda,,,,,,,,,,,,,,,, ,Infections
Argentina,,20.3,21.1,20.2,21.4,22.4,21.9,21.5,24.0,24.5,23.9,22.9,23.9,24.8,25.5,24.7 ,Infections
Armenia,4.7,4.8,4.2,3.2,4.1,4.7,4.0,3.5,,4.2,,,3.6,3.8,3.8,4.7 ,Infections
Aruba,,,,,,,,,,,,,,,, ,Infections
Australia,,5.0,5.2,4.5,4.8,4.2,3.7,4.3,4.1,4.6,,4.3,4.2,4.5,4.4,4.5 ,Infections
Austria,,2.9,3.1,2.9,3.3,3.2,3.2,3.3,2.9,3.0,3.2,3.4,3.3,2.6,1.9,1.9 ,Infections
Azerbaijan,,,,,,,,,2.6,,,7.8,10.1,10.3,12.9,12.2 ,Infections
Bahamas,,,,,,,,,,,,,,,, ,Infections
Bahrain,,6.8,11.2,9.0,10.3,15.1,21.4,17.2,18.0,23.1,24.4,12.6,21.0,16.9,15.6,31.8 ,Infections
Barbados,,,,,,,,,,,,,,,, ,Infections
Belarus,,4.1,4.4,,5.1,4.9,4.3,4.0,4.7,,,,3.9,4.1,3.8,3.8 ,Infections
Belgium,,,9.0,7.9,7.9,8.7,9.1,8.4,8.1,8.7,10.0,10.7,11.1,10.0,9.7,8.8 ,Infections
Belize,,,,,,,,,,,,,,,, ,Infections
Bermuda,,,,,,,,,,,,,,,, ,Infections
Bolivia,,,,,,,,,,,,,,,, ,Infections
Bosnia and Herzegovina,,3.6,,,3.2,,,,,,,,,,, ,Infections
Brazil,,19.9,20.6,20.3,20.6,21.1,20.6,21.2,21.3,22.1,23.0,22.8,23.6,23.0,23.4,23.4 ,Infections
British Virgin Islands,,,,,,,,,,,,,,,, ,Infections
Brunei Darussalam,,,,,,,,,,,,,,,, ,Infections
Bulgaria,,,3.4,3.6,3.2,3.4,3.5,3.8,4.5,3.9,4.0,4.3,4.5,4.5,4.5,5.3 ,Infections
Canada,,,,7.3,7.2,6.9,6.8,6.6,6.5,6.3,6.4,6.1,5.5,5.4,5.0,5.2 ,Infections
Cabo Verde,,,,,,,,,,,,,,,, ,Infections
Cayman Islands,,,,,,,,,,,,,,,, ,Infections
Chile,,8.0,7.8,7.2,6.5,6.6,6.3,5.9,6.1,6.7,7.0,7.1,7.5,8.0,8.3,9.5 ,Infections
