Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Albania,,,,,,1.1,1.4,2.7,2.8,4.1,2.8,4.8,4.6,4.5,4.4,3.4 ,Infections
Anguilla,,,,,,,,,,,,,,,, ,Infections
Antigua and Barbuda,,,,,,,,,,,,,,,, ,Infections
Argentina,,33.3,32.8,32.5,34.3,34.2,33.8,35.1,37.5,38.7,38.3,37.7,40.1,39.6,41.6,40.4 ,Infections
Armenia,14.3,12.9,11.2,14.7,12.3,15.1,13.4,14.1,,14.2,,,13.0,13.9,11.8,13.8 ,Infections
Aruba,,,,,,,,,,,,,,,, ,Infections
Australia,,7.4,7.2,7.0,7.3,6.8,6.3,6.6,6.5,7.5,,7.2,7.0,7.4,7.4,7.4 ,Infections
Austria,,5.1,5.5,4.9,4.9,4.9,5.4,5.2,4.6,4.6,6.4,4.9,5.6,5.2,3.1,3.4 ,Infections
Azerbaijan,,,,,,,,,7.8,,,23.3,26.1,29.4,30.7,32.4 ,Infections
Bahamas,,,,,,,,,,,,,,,, ,Infections
Bahrain,,7.5,4.6,17.0,17.6,17.4,20.3,16.1,15.2,19.5,29.3,35.0,32.6,24.5,20.5,32.4 ,Infections
Barbados,,,,,,,,,,,,,,,, ,Infections
Belarus,,12.7,13.8,,18.0,17.7,17.5,17.2,19.1,,,,21.2,19.9,16.9,14.9 ,Infections
Belgium,,,12.7,12.4,11.1,11.3,11.3,11.1,11.4,11.9,13.8,14.6,15.0,14.2,13.2,12.8 ,Infections
Belize,,,,,,,,,,,,,,,, ,Infections
Bermuda,,,,,,,,,,,,,,,, ,Infections
Bolivia,,,,,,,,,,,,,,,, ,Infections
Bosnia and Herzegovina,,6.7,,,7.8,,,,,,,,,,, ,Infections
Brazil,,32.2,33.1,32.4,33.2,34.5,34.3,35.4,35.2,37.2,38.1,38.9,40.2,39.9,41.0,41.9 ,Infections
British Virgin Islands,,,,,,,,,,,,,,,, ,Infections
Brunei Darussalam,,,,,,,,,,,,,,,, ,Infections
Bulgaria,,,6.9,8.2,6.7,8.3,7.8,8.4,9.4,8.4,8.9,9.1,9.0,8.2,9.9,10.5 ,Infections
Canada,,,,9.6,9.6,10.0,9.7,9.7,10.3,9.5,9.7,9.5,9.4,8.6,8.5,9.1 ,Infections
Cabo Verde,,,,,,,,,,,,,,,, ,Infections
Cayman Islands,,,,,,,,,,,,,,,, ,Infections
Chile,,15.2,14.9,13.5,11.9,13.2,12.8,11.9,12.8,13.4,13.9,15.3,15.4,15.7,18.5,18.3 ,Infections
Colombia,,,19.8,19.3,18.7,20.3,21.2,23.1,24.5,24.6,26.1,27.5,27.5,28.0,28.9,28.2 ,Infections
Costa Rica,,9.8,10.4,9.8,10.6,11.5,10.4,9.2,9.7,12.4,14.0,13.7,14.5,15.8,17.1,15.3 ,Infections
Croatia,6.2,5.6,4.8,5.3,4.6,5.7,6.9,5.7,7.0,6.8,6.0,6.9,8.6,11.1,10.4,12.4 ,Infections
Cuba,,10.5,10.1,9.1,8.1,8.0,6.6,6.8,7.2,7.7,8.8,7.0,7.1,6.7,7.3,7.6 ,Infections
Cyprus,,,8.2,7.3,6.3,5.2,7.0,7.2,5.7,3.3,6.3,4.2,,,,4.1 ,Infections
Czech Republic,10.6,9.9,8.7,9.9,8.3,6.2,7.2,6.3,4.7,3.4,2.9,2.9,2.7,2.5,2.4,2.4 ,Infections
Denmark,,7.1,8.6,8.2,7.8,8.9,8.4,7.5,9.3,8.5,8.0,9.3,10.1,9.0,5.1,4.8 ,Infections
Dominica,,,,,,,,,,,,,,,, ,Infections
Dominican Republic,,,,,,,,,,,,,,,, ,Infections
Ecuador,,18.4,17.3,21.7,21.9,24.3,25.3,27.2,28.4,29.3,31.4,29.2,32.4,36.1,36.3,38.6 ,Infections
Egypt,,32.3,26.8,29.6,32.4,28.6,27.9,34.9,37.5,36.5,35.0,31.8,27.0,30.1,33.8,34.4 ,Infections
El Salvador,,,30.8,28.5,25.6,29.4,29.6,28.6,32.7,35.4,38.1,45.6,58.6,51.7,50.8,57.3 ,Infections
Estonia,,9.0,10.8,11.9,12.8,11.5,13.3,12.0,12.8,14.5,10.4,14.8,14.8,11.9,13.5,14.1 ,Infections
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, ,Infections
