Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Albania,,,,,,56.4,74.7,80.5,74.2,87.4,88.6,95.6,102.0,94.4,84.7,104.2 ,Neoplazm
Anguilla,,,,,,,,,,,,,,,, ,Neoplazm
Antigua and Barbuda,,,,,,,,,,,,,,,, ,Neoplazm
Argentina,,119.1,119.8,120.2,120.0,122.6,123.3,124.5,128.0,128.9,131.0,130.8,131.9,131.7,133.2,135.5 ,Neoplazm
Armenia,150.3,142.7,141.5,145.3,151.1,154.1,145.4,146.6,,145.9,,,124.6,122.5,102.4,99.4 ,Neoplazm
Aruba,,,,,,,,,,,,,,,, ,Neoplazm
Australia,,108.6,111.4,111.7,115.9,117.1,117.0,121.2,119.4,123.8,,125.5,126.2,129.6,130.8,131.7 ,Neoplazm
Austria,,118.0,117.4,121.3,121.6,121.9,124.1,126.7,124.3,126.9,130.0,133.7,134.9,133.1,133.8,137.7 ,Neoplazm
Azerbaijan,,,,,,,,,68.8,,,90.7,96.3,90.6,86.9,83.2 ,Neoplazm
Bahamas,,,,,,,,,,,,,,,, ,Neoplazm
Bahrain,,42.5,41.5,47.9,50.6,49.6,47.7,57.2,57.9,61.6,69.6,80.1,89.0,101.1,91.8,92.6 ,Neoplazm
Barbados,,,,,,,,,,,,,,,, ,Neoplazm
Belarus,,115.9,117.2,,124.5,126.6,125.9,128.2,127.3,,,,133.0,137.9,140.2,141.4 ,Neoplazm
Belgium,,,124.8,126.0,128.3,130.4,130.8,134.1,134.1,133.5,137.4,136.9,140.3,144.7,145.4,146.8 ,Neoplazm
Belize,,,,,,,,,,,,,,,, ,Neoplazm
Bermuda,,,,,,,,,,,,,,,, ,Neoplazm
Bolivia,,,,,,,,,,,,,,,, ,Neoplazm
Bosnia and Herzegovina,,120.9,,,122.2,,,,,,,,,,, ,Neoplazm
Brazil,,100.7,101.8,102.6,102.6,103.7,103.4,104.3,104.6,104.9,103.3,102.3,101.7,102.0,102.6,103 ,Neoplazm
British Virgin Islands,,,,,,,,,,,,,,,, ,Neoplazm
Brunei Darussalam,,,,,,,,,,,,,,,, ,Neoplazm
Bulgaria,,,128.6,130.1,122.4,122.0,126.1,134.4,133.6,132.3,134.2,122.7,119.4,121.5,119.2,117.7 ,Neoplazm
Canada,,,,120.5,120.9,123.3,126.1,128.8,130.9,131.3,134.5,137.3,139.1,141.3,142.3,143.6 ,Neoplazm
Cabo Verde,,,,,,,,,,,,,,,, ,Neoplazm
Cayman Islands,,,,,,,,,,,,,,,, ,Neoplazm
Chile,,111.7,114.4,116.9,117.1,118.9,120.0,115.5,118.0,122.7,125.4,125.8,128.7,129.3,128.8,132 ,Neoplazm
Colombia,,,95.5,94.5,92.8,97.9,98.7,99.4,101.7,101.4,103.0,104.2,106.7,105.9,104.5,106.7 ,Neoplazm
Costa Rica,,93.7,95.2,95.9,97.3,102.2,89.9,90.9,92.3,99.1,98.4,107.9,107.5,101.1,112.5,106.4 ,Neoplazm
Croatia,160.4,161.5,162.8,163.0,164.6,163.8,163.4,164.8,161.2,162.8,165.0,162.5,166.0,165.3,164.9,190.9 ,Neoplazm
Cuba,,133.2,131.8,133.7,132.2,137.5,136.3,138.3,136.1,135.6,134.9,134.7,135.0,132.2,130.7,129.6 ,Neoplazm
Cyprus,,,94.8,94.1,91.7,90.3,95.5,94.8,97.3,90.9,93.5,95.5,,,,37.3 ,Neoplazm
Czech Republic,131.7,135.8,137.9,141.8,144.2,151.0,152.5,155.4,157.6,163.9,167.3,176.3,179.8,179.7,179.2,183.1 ,Neoplazm
Denmark,,135.8,137.7,143.8,143.5,148.2,146.7,152.4,154.5,161.9,161.9,162.7,162.9,165.2,172.0,174.6 ,Neoplazm
Dominica,,,,,,,,,,,,,,,, ,Neoplazm
Dominican Republic,,,,,,,,,,,,,,,, ,Neoplazm
Ecuador,,75.8,76.3,80.0,79.4,80.3,79.7,80.1,80.0,80.9,79.2,77.3,74.8,76.1,80.1,82 ,Neoplazm
Egypt,,60.8,54.1,52.2,52.3,52.1,50.8,77.3,85.2,88.8,79.3,77.3,49.2,46.7,43.9,39.3 ,Neoplazm
El Salvador,,,66.5,64.6,66.3,65.2,67.4,68.7,71.2,71.6,74.3,73.0,73.7,74.7,75.4,74.4 ,Neoplazm
Estonia,,143.0,138.6,141.8,142.7,141.6,143.9,145.2,148.3,152.2,150.7,151.6,148.1,153.1,150.7,153.9 ,Neoplazm
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, ,Neoplazm
Fiji,,,,100.1,111.8,,102.1,102.6,109.5,98.8,93.1,83.2,77.4,63.4,63.3, ,Neoplazm
Finland,,101.0,103.9,105.0,105.5,108.3,105.3,106.8,107.9,109.7,111.6,112.6,114.2,114.7,117.5,118.7 ,Neoplazm
France,,,120.5,123.6,125.6,128.4,131.3,132.4,133.7,136.4,140.2,140.8,144.4,146.4,147.3,148.7 ,Neoplazm
French Guiana,,,,,,,,,,,,,,,, ,Neoplazm
Georgia,,99.8,73.5,77.7,72.4,43.8,81.3,,72.5,78.8,75.5,93.4,,,75.5,77.6 ,Neoplazm
Germany,,120.0,122.8,121.2,123.6,124.1,125.0,127.2,126.7,128.8,131.2,132.8,135.3,137.5,138.1,142.6 ,Neoplazm
Greece,,,118.0,117.3,112.8,114.3,117.5,119.9,120.8,118.1,122.7,123.8,122.6,123.1,126.0,125.2 ,Neoplazm
Grenada,,,,,,,,,,,,,,,, ,Neoplazm
Guadeloupe,,,,,,,,,,,,,,,, ,Neoplazm
Guatemala,,79.6,80.9,84.4,82.5,87.4,88.6,84.8,86.4,88.9,87.1,89.8,88.1,87.5,83.2,86.1 ,Neoplazm
Guyana,,,,88.8,103.7,96.3,82.2,97.5,94.5,85.6,99.4,93.0,94.7,85.9,101.4, ,Neoplazm
Haiti,,,,,,,,,,,,,,,, ,Neoplazm
