Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Albania,,,,,,39.8,52.2,55.8,51.1,64.0,62.0,68.1,73.5,66.3,59.5,69.3 ,Neoplazm
Anguilla,,,,,,,,,,,,,,,, ,Neoplazm
Antigua and Barbuda,,,,,,,,,,,,,,,, ,Neoplazm
Argentina,,101.3,101.1,100.6,99.6,101.5,102.0,101.8,104.3,104.4,106.4,106.6,107.7,106.9,107.9,108.8 ,Neoplazm
Armenia,116.3,109.1,112.7,116.6,120.8,121.9,112.5,111.8,,118.0,,,100.1,96.8,82.9,80.8 ,Neoplazm
Aruba,,,,,,,,,,,,,,,, ,Neoplazm
Australia,,90.0,90.7,90.9,93.9,94.1,94.8,97.8,96.1,99.7,,101.1,102.3,105.0,104.8,104.8 ,Neoplazm
Austria,,98.3,95.4,100.5,99.2,98.9,98.9,100.8,100.1,100.7,104.5,106.8,107.9,105.5,107.2,111.6 ,Neoplazm
Azerbaijan,,,,,,,,,54.6,,,73.8,74.9,72.1,68.2,63.3 ,Neoplazm
Bahamas,,,,,,,,,,,,,,,, ,Neoplazm
Bahrain,,46.7,45.8,44.7,52.9,45.8,45.4,56.7,47.5,63.3,73.4,76.2,80.8,71.0,70.5,91.8 ,Neoplazm
Barbados,,,,,,,,,,,,,,,, ,Neoplazm
Belarus,,78.7,81.1,,84.0,86.0,83.2,86.5,86.4,,,,88.0,91.8,93.8,94.4 ,Neoplazm
Belgium,,,99.1,98.5,102.1,101.3,103.0,103.4,104.7,102.3,103.8,104.0,105.6,108.4,108.3,108.8 ,Neoplazm
Belize,,,,,,,,,,,,,,,, ,Neoplazm
Bermuda,,,,,,,,,,,,,,,, ,Neoplazm
Bolivia,,,,,,,,,,,,,,,, ,Neoplazm
Bosnia and Herzegovina,,92.0,,,90.2,,,,,,,,,,, ,Neoplazm
Brazil,,84.4,84.7,85.7,85.2,85.3,85.1,85.6,85.6,86.0,84.1,83.3,83.0,82.9,83.6,83.5 ,Neoplazm
British Virgin Islands,,,,,,,,,,,,,,,, ,Neoplazm
Brunei Darussalam,,,,,,,,,,,,,,,, ,Neoplazm
Bulgaria,,,93.2,97.0,92.5,90.5,93.1,100.3,100.1,98.7,102.4,91.6,89.0,92.7,90.9,92.4 ,Neoplazm
Canada,,,,105.6,106.0,107.8,109.4,111.9,112.9,113.4,115.3,118.0,119.1,120.4,119.6,120.9 ,Neoplazm
Cabo Verde,,,,,,,,,,,,,,,, ,Neoplazm
Cayman Islands,,,,,,,,,,,,,,,, ,Neoplazm
Chile,,94.3,97.7,100.3,100.0,99.7,102.6,99.9,101.8,105.9,107.9,108.6,111.6,112.6,112.5,115.2 ,Neoplazm
Colombia,,,85.7,86.8,84.2,89.6,90.0,90.6,92.1,91.9,93.0,95.7,98.0,97.3,95.3,97.6 ,Neoplazm
Costa Rica,,80.7,81.7,84.6,81.5,88.3,78.8,77.1,74.8,85.5,86.3,89.8,91.4,85.7,94.2,91.2 ,Neoplazm
Croatia,117.1,118.5,119.6,118.3,118.9,119.2,115.7,118.1,112.0,114.5,114.9,113.2,114.3,116.9,114.1,131.8 ,Neoplazm
Cuba,,110.6,110.6,109.6,109.8,113.5,113.2,116.2,113.8,112.7,110.4,110.0,114.0,110.2,111.9,109 ,Neoplazm
Cyprus,,,73.3,71.0,74.6,71.0,77.3,76.7,81.4,75.0,77.9,71.8,,,,27.7 ,Neoplazm
Czech Republic,103.7,106.1,107.5,110.9,112.4,114.5,115.3,119.0,120.3,126.4,127.4,132.5,136.2,134.7,137.4,137.3 ,Neoplazm
Denmark,,119.9,121.6,128.2,126.0,132.2,131.2,137.2,139.0,142.6,144.8,142.3,145.0,148.5,155.5,155.4 ,Neoplazm
Dominica,,,,,,,,,,,,,,,, ,Neoplazm
Dominican Republic,,,,,,,,,,,,,,,, ,Neoplazm
Ecuador,,74.2,74.5,76.7,76.0,77.0,77.9,76.5,78.0,79.3,77.8,74.2,73.3,74.4,79.4,80.6 ,Neoplazm
Egypt,,53.3,45.9,44.5,43.8,43.7,42.1,67.9,72.7,77.2,68.5,66.2,39.9,38.3,35.8,31.8 ,Neoplazm
El Salvador,,,68.2,66.0,65.7,67.1,68.9,71.1,73.3,72.8,77.2,76.6,76.5,78.1,79.1,78.3 ,Neoplazm
Estonia,,105.4,101.1,103.6,105.3,99.9,106.3,105.0,105.6,111.5,106.6,110.1,106.5,111.2,111.8,116.5 ,Neoplazm
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, ,Neoplazm
