Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Albania,,,,,,74.6,100.2,107.8,99.7,114.3,119.1,127.4,134.9,126.6,112.4,146.9 ,Neoplazm
Anguilla,,,,,,,,,,,,,,,, ,Neoplazm
Antigua and Barbuda,,,,,,,,,,,,,,,, ,Neoplazm
Argentina,,147.1,148.8,150.5,151.3,155.1,155.5,158.6,163.4,165.3,167.7,166.3,167.7,167.7,169.9,174.9 ,Neoplazm
Armenia,199.1,191.4,181.9,185.8,190.1,195.0,195.7,199.5,,182.7,,,159.8,159.6,128.7,124.3 ,Neoplazm
Aruba,,,,,,,,,,,,,,,, ,Neoplazm
Australia,,131.3,136.8,137.4,143.3,145.4,144.8,150.7,148.8,155.3,,157.0,157.1,162.0,164.7,167.2 ,Neoplazm
Austria,,144.9,147.9,150.5,153.1,154.4,159.5,164.1,159.4,165.6,168.2,174.0,176.9,175.3,175.4,179 ,Neoplazm
Azerbaijan,,,,,,,,,87.3,,,112.6,125.6,115.2,112.3,109.3 ,Neoplazm
Bahamas,,,,,,,,,,,,,,,, ,Neoplazm
Bahrain,,41.0,40.0,55.4,53.0,56.6,52.8,61.5,69.5,64.8,69.8,89.0,101.3,132.8,116.0,94 ,Neoplazm
Barbados,,,,,,,,,,,,,,,, ,Neoplazm
Belarus,,178.0,177.3,,192.2,195.5,197.0,198.6,197.3,,,,208.5,214.5,216.5,219.2 ,Neoplazm
Belgium,,,159.1,162.9,164.2,169.8,168.8,175.8,174.8,177.0,184.6,183.5,189.4,196.4,198.3,201.8 ,Neoplazm
Belize,,,,,,,,,,,,,,,, ,Neoplazm
Bermuda,,,,,,,,,,,,,,,, ,Neoplazm
Bolivia,,,,,,,,,,,,,,,, ,Neoplazm
Bosnia and Herzegovina,,159.6,,,164.1,,,,,,,,,,, ,Neoplazm
Brazil,,124.3,126.3,127.0,127.8,130.6,130.0,131.4,132.2,132.5,131.6,130.0,128.9,129.8,130.6,132.4 ,Neoplazm
British Virgin Islands,,,,,,,,,,,,,,,, ,Neoplazm
Brunei Darussalam,,,,,,,,,,,,,,,, ,Neoplazm
