Country,Cause group,Year,ICD rev and list,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Finland,A,2007,208,0,11097,1,3,1.0,4.0,1.0,6,12,15,17,14,35,43,128,209,450,826,1137,1291,1464,1943,1827,1070,456.0,144.0,0
Finland,A,2008,208,0,11214,2,3,4.0,2.0,4.0,11,10,7,17,28,31,49,119,192,425,803,1237,1263,1523,1926,1789,1157,501.0,111.0,0
Finland,A,2009,208,0,11310,2,2,1.0,1.0,0.0,5,11,11,15,17,26,45,107,234,377,776,1360,1292,1603,1842,1741,1234,473.0,135.0,0
Finland,A,2010,208,0,11881,4,1,1.0,1.0,4.0,12,7,10,9,19,32,51,116,227,431,762,1365,1373,1643,1881,1995,1279,535.0,123.0,0
Finland,A,2011,208,0,11900,5,2,1.0,1.0,0.0,7,9,4,9,20,36,47,107,192,395,769,1325,1488,1645,1862,1894,1387,567.0,128.0,0
Finland,A,2012,208,0,12074,2,1,0.0,0.0,1.0,8,8,6,20,26,35,59,97,211,385,669,1240,1696,1752,1802,1915,1400,596.0,145.0,0
Finland,A,2013,208,0,12226,1,4,1.0,3.0,1.0,3,7,10,10,27,44,50,112,196,359,687,1146,1787,1725,1918,1909,1457,635.0,134.0,0
Finland,A,2014,208,0,12270,1,0,0.0,3.0,0.0,15,4,9,10,24,34,51,81,163,370,611,1126,1812,1739,1913,1960,1543,680.0,121.0,0
Finland,B,2007,208,0,49093,159,19,9.0,12.0,6.0,28,39,154,241,253,276,401,675,1088,1811,2782,3167,3597,4363,6762,8448,7801,5037.0,1965.0,0
Finland,B,2008,208,0,49090,159,11,11.0,9.0,11.0,33,31,138,220,230,272,387,687,1010,1731,2740,3449,3384,4427,6520,8370,8052,5212.0,1996.0,0
Finland,B,2009,208,0,49904,160,9,6.0,6.0,5.0,20,35,146,212,244,309,346,626,1094,1590,2482,3604,3544,4591,6330,8664,8628,5089.0,2164.0,0
Finland,B,2010,208,0,50910,138,12,9.0,8.0,9.0,30,24,113,244,266,274,317,567,966,1574,2450,3737,3590,4574,6338,8920,9047,5431.0,2272.0,0
Finland,B,2011,208,0,50568,142,20,6.0,8.0,5.0,28,30,119,201,243,266,318,493,897,1518,2363,3571,3783,4522,5999,8688,9135,5842.0,2371.0,0
Finland,B,2012,208,0,51737,141,20,6.0,10.0,4.0,30,28,119,202,238,251,326,495,888,1342,2207,3486,4139,4691,5985,8903,9511,6157.0,2558.0,0
Finland,B,2013,208,0,51478,98,18,6.0,6.0,5.0,18,25,94,185,220,280,321,452,854,1242,2173,3357,4422,4547,6153,8480,9554,6407.0,2561.0,0
Finland,B,2014,208,0,52409,125,11,9.0,7.0,6.0,28,26,88,168,235,256,313,398,744,1277,1970,3212,4590,4596,6340,8464,9963,7025.0,2558.0,0
Germany,A,2007,208,0,217289,31,29,18.0,26.0,17.0,81,95,146,216,283,507,1169,2933,5660,9360,13888,17889,31623,33233,35509,32377,20913,8449.0,2837.0,0
